name,homeworld,vehicles
Luke Skywalker,Tatooine,"['Snowspeeder', 'Imperial Speeder Bike']"
C-3PO,Tatooine,[]
R2-D2,Naboo,[]
Darth Vader,Tatooine,[]
Leia Organa,Alderaan,['Imperial Speeder Bike']
Owen Lars,Tatooine,[]
Beru Whitesun lars,Tatooine,[]
R5-D4,Tatooine,[]
Biggs Darklighter,Tatooine,[]
Obi-Wan Kenobi,Stewjon,['Tribubble bongo']
Anakin Skywalker,Tatooine,"['Zephyr-G swoop bike', 'XJ-6 airspeeder']"
Wilhuff Tarkin,Eriadu,[]
Chewbacca,Kashyyyk,['AT-ST']
Han Solo,Corellia,[]
Greedo,Rodia,[]
Jabba Desilijic Tiure,Nal Hutta,[]
Wedge Antilles,Corellia,['Snowspeeder']
Jek Tono Porkins,Bestine IV,[]
Yoda,unknown,[]
Palpatine,Naboo,[]
Boba Fett,Kamino,[]
IG-88,unknown,[]
Bossk,Trandosha,[]
Lando Calrissian,Socorro,[]
Lobot,Bespin,[]
Ackbar,Mon Cala,[]
Mon Mothma,Chandrila,[]
Arvel Crynyd,unknown,[]
Wicket Systri Warrick,Endor,[]
Nien Nunb,Sullust,[]
Qui-Gon Jinn,unknown,['Tribubble bongo']
Nute Gunray,Cato Neimoidia,[]
Finis Valorum,Coruscant,[]
Padmé Amidala,Naboo,[]
Jar Jar Binks,Naboo,[]
Roos Tarpals,Naboo,[]
Rugor Nass,Naboo,[]
Ric Olié,Naboo,[]
Watto,Toydaria,[]
Sebulba,Malastare,[]
Quarsh Panaka,Naboo,[]
Shmi Skywalker,Tatooine,[]
Darth Maul,Dathomir,['Sith speeder']
Bib Fortuna,Ryloth,[]
Ayla Secura,Ryloth,[]
Ratts Tyerel,Aleen Minor,[]
Dud Bolt,Vulpter,[]
Gasgano,Troiken,[]
Ben Quadinaros,Tund,[]
Mace Windu,Haruun Kal,[]
Ki-Adi-Mundi,Cerea,[]
Kit Fisto,Glee Anselm,[]
Eeth Koth,Iridonia,[]
Adi Gallia,Coruscant,[]
Saesee Tiin,Iktotch,[]
Yarael Poof,Quermia,[]
Plo Koon,Dorin,[]
Mas Amedda,Champala,[]
Gregar Typho,Naboo,[]
Cordé,Naboo,[]
Cliegg Lars,Tatooine,[]
Poggle the Lesser,Geonosis,[]
Luminara Unduli,Mirial,[]
Barriss Offee,Mirial,[]
Dormé,Naboo,[]
Dooku,Serenno,['Flitknot speeder']
Bail Prestor Organa,Alderaan,[]
Jango Fett,Concord Dawn,[]
Zam Wesell,Zolan,['Koro-2 Exodrive airspeeder']
Dexter Jettster,Ojom,[]
Lama Su,Kamino,[]
Taun We,Kamino,[]
Jocasta Nu,Coruscant,[]
R4-P17,unknown,[]
Wat Tambor,Skako,[]
San Hill,Muunilinst,[]
Shaak Ti,Shili,[]
Grievous,Kalee,['Tsmeu-6 personal wheel bike']
Tarfful,Kashyyyk,[]
Raymus Antilles,Alderaan,[]
Sly Moore,Umbara,[]
Tion Medon,Utapau,[]
